2010,1236.0,"Census Tract 1247, Los Angeles County, California",124700,Sherman Oaks,1400000US06037124700,Median_Rent_Price_2010_1400000US06037124700,2010-01-01,34.162466912294,-118.413864499994
2010,1483.0,"Census Tract 5038.01, Los Angeles County, California",503801,La Mirada,1400000US06037503801,Median_Rent_Price_2010_1400000US06037503801,2010-01-01,33.899102856233,-117.9936485
2010,1086.0,"Census Tract 5739.02, Los Angeles County, California",573902,Long Beach,1400000US06037573902,Median_Rent_Price_2010_1400000US06037573902,2010-01-01,33.8119735,-118.078652493167
2010,1231.0,"Census Tract 5766.02, Los Angeles County, California",576602,Long Beach,1400000US06037576602,Median_Rent_Price_2010_1400000US06037576602,2010-01-01,33.765980150191,-118.170779302632
2010,,"Census Tract 9903, Los Angeles County, California",990300,Long Beach,1400000US06037990300,Median_Rent_Price_2010_1400000US06037990300,2010-01-01,33.723119408975,-118.203400497254
2011,1579.0,"Census Tract 5038.01, Los Angeles County, California",503801,La Mirada,1400000US06037503801,Median_Rent_Price_2011_1400000US06037503801,2011-01-01,33.899102856233,-117.9936485
2011,1103.0,"Census Tract 5739.02, Los Angeles County, California",573902,Long Beach,1400000US06037573902,Median_Rent_Price_2011_1400000US06037573902,2011-01-01,33.8119735,-118.078652493167
2011,1207.0,"Census Tract 5766.02, Los Angeles County, California",576602,Long Beach,1400000US06037576602,Median_Rent_Price_2011_1400000US06037576602,2011-01-01,33.765980150191,-118.170779302632
2011,,"Census Tract 9800.33, Los Angeles County, California",980033,San Pedro,1400000US06037980033,Median_Rent_Price_2011_1400000US06037980033,2011-01-01,33.7513514674,-118.216154
2011,,"Census Tract 9903, Los Angeles County, California",990300,Long Beach,1400000US06037990300,Median_Rent_Price_2011_1400000US06037990300,2011-01-01,33.723119408975,-118.203400497254
2012,1313.0,"Census Tract 1247, Los Angeles County, California",124700,Sherman Oaks,1400000US06037124700,Median_Rent_Price_2012_1400000US06037124700,2012-01-01,34.162466912294,-118.413864499994
2012,1652.0,"Census Tract 5038.01, Los Angeles County, California",503801,La Mirada,1400000US06037503801,Median_Rent_Price_2012_1400000US06037503801,2012-01-01,33.899102856233,-117.9936485
2012,1522.0,"Census Tract 5739.02, Los Angeles County, California",573902,Long Beach,1400000US06037573902,Median_Rent_Price_2012_1400000US06037573902,2012-01-01,33.8119735,-118.078652493167
